Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
5065485,539961,false,-1.0,dlg 268: ,
433907,357503,false,-1.0,dlg 269: ,
370048,283950,false,-1.0,dlg 270: ,
433337,342109,false,-1.0,dlg 271: ,
466408,344959,false,-1.0,dlg 272: ,
314169,371758,false,-1.0,dlg 273: ,
367767,304477,false,-1.0,dlg 274: ,
222371,183598,false,-1.0,dlg 275: ,
530839,333556,false,-1.0,dlg 276: ,
611804,2346294,false,-1.0,dlg 277: ,
427065,311889,false,-1.0,dlg 278: ,
213818,205265,false,-1.0,dlg 279: ,
362065,323862,false,-1.0,dlg 280: ,
393425,306758,false,-1.0,dlg 281: ,
393424,295924,false,-1.0,dlg 282: ,
407109,311889,false,-1.0,dlg 283: ,
237766,220089,false,-1.0,dlg 284: ,
379170,352372,false,-1.0,dlg 285: ,
236625,185879,false,-1.0,dlg 286: ,
229783,192721,false,-1.0,dlg 287: ,
222940,182458,false,-1.0,dlg 288: ,
212677,636322,false,-1.0,dlg 289: ,
393995,378600,false,-1.0,dlg 290: ,
534829,891193,false,-1.0,dlg 291: ,
3341829,919132,false,-1.0,dlg 292: ,
460135,819920,false,-1.0,dlg 293: ,
308468,283950,false,-1.0,dlg 294: ,
215529,217239,false,-1.0,dlg 295: ,
218949,268555,false,-1.0,dlg 296: ,
384872,311318,false,-1.0,dlg 297: ,
376890,456715,false,-1.0,dlg 298: ,
217809,186449,false,-1.0,dlg 299: ,
272546,112896,false,-1.0,dlg 300: ,
211537,184169,false,-1.0,dlg 301: ,
277678,4552323,false,-1.0,dlg 302: ,
391714,295354,false,-1.0,dlg 303: ,
211537,184739,false,-1.0,dlg 304: ,
300485,297634,false,-1.0,dlg 305: ,
882640,456144,false,-1.0,dlg 306: ,
342679,290792,false,-1.0,dlg 307: ,
397986,296494,false,-1.0,dlg 308: ,
375749,315310,false,-1.0,dlg 309: ,
379740,289081,false,-1.0,dlg 310: ,
424215,328424,false,-1.0,dlg 311: ,
230923,241186,false,-1.0,dlg 312: ,
196142,208116,false,-1.0,dlg 313: ,
213247,212678,false,-1.0,dlg 314: ,
348951,288512,false,-1.0,dlg 315: ,
378600,249169,false,-1.0,dlg 316: ,
396845,287371,false,-1.0,dlg 317: ,
332415,310178,false,-1.0,dlg 318: ,
205265,127720,false,-1.0,dlg 319: ,
643164,280528,false,-1.0,dlg 320: ,
335837,299345,false,-1.0,dlg 321: ,
312459,319301,false,-1.0,dlg 322: ,
581584,291362,false,-1.0,dlg 323: ,
360925,279388,false,-1.0,dlg 324: ,
263424,210967,false,-1.0,dlg 325: ,
365486,301625,false,-1.0,dlg 326: ,
2174099,276538,false,-1.0,dlg 327: ,
200703,213247,false,-1.0,dlg 328: ,
182458,227502,false,-1.0,dlg 329: ,
257722,208116,false,-1.0,dlg 330: ,
214388,212108,false,-1.0,dlg 331: ,
350661,286230,false,-1.0,dlg 332: ,
204125,206975,false,-1.0,dlg 333: ,
310749,315310,false,-1.0,dlg 334: ,
197283,213818,false,-1.0,dlg 335: ,
529128,305617,false,-1.0,dlg 336: ,
208116,217239,false,-1.0,dlg 337: ,
47484077,303336,false,-1.0,dlg 338: ,
208116,217809,false,-1.0,dlg 339: ,
4352759,561058,false,-1.0,dlg 340: ,
420223,225221,false,-1.0,dlg 341: ,
206406,211537,false,-1.0,dlg 342: ,
304477,228072,false,-1.0,dlg 343: ,
3362926,307898,false,-1.0,dlg 344: ,
374609,292502,false,-1.0,dlg 345: ,
370618,283380,false,-1.0,dlg 346: ,
340968,266274,false,-1.0,dlg 347: ,
380311,280529,false,-1.0,dlg 348: ,
415662,314740,false,-1.0,dlg 349: ,
455575,301055,false,-1.0,dlg 350: ,
2858315,273117,false,-1.0,dlg 351: ,
428205,295354,false,-1.0,dlg 352: ,
349521,1393522,false,-1.0,dlg 353: ,
329565,110615,false,-1.0,dlg 354: ,
197282,202984,false,-1.0,dlg 355: ,
351801,404258,false,-1.0,dlg 356: ,
